E423 modified
 1.0000002     0.0000962
 0.9906837     0.0045991
 0.9751697     0.0128947
 0.9578694     0.0218550
 0.9391844     0.0304217
 0.9180989     0.0389122
 0.8940251     0.0474931
 0.8676017     0.0561342
 0.8396813     0.0648330
 0.8108463     0.0734218
 0.7815362     0.0817792
 0.7520213     0.0898345
 0.7224179     0.0975539
 0.6928273     0.1049196
 0.6633655     0.1119167
 0.6341209     0.1185341
 0.6051268     0.1247552
 0.5764336     0.1304847
 0.5481838     0.1355920
 0.5205663     0.1399698
 0.4936543     0.1435613
 0.4672292     0.1463669
 0.4410427     0.1483910
 0.4150046     0.1495970
 0.3890923     0.1499175
 0.3633019     0.1493387
 0.3376549     0.1479062
 0.3121898     0.1457515
 0.2869434     0.1429199
 0.2619247     0.1393613
 0.2371573     0.1350062
 0.2127809     0.1298815
 0.1889949     0.1238089
 0.1659928     0.1169387
 0.1439635     0.1100216
 0.1231306     0.1022789
 0.1037567     0.0941654
 0.0861002     0.0859751
 0.0703901     0.0777353
 0.0567612     0.0694273
 0.0452007     0.0613245
 0.0355757     0.0538306
 0.0276619     0.0470890
 0.0211987     0.0409736
 0.0159461     0.0353046
 0.0117060     0.0299562
 0.0083090     0.0248605
 0.0056212     0.0200657
 0.0035267     0.0162173
 0.0019563     0.0124786
 0.0008637     0.0085719
 0.0002063     0.0051477
-0.0000116     0.0022250
 0.0002471    -0.0006010
 0.0011017    -0.0032758
 0.0029633    -0.0053855
 0.0060483    -0.0069037
 0.0097470    -0.0077779
 0.0139720    -0.0082642
 0.0187721    -0.0086132
 0.0242866    -0.0088181
 0.0306970    -0.0088615
 0.0382192    -0.0086407
 0.0471507    -0.0078977
 0.0579073    -0.0063226
 0.0711085    -0.0038335
 0.0874607    -0.0005167
 0.1074414     0.0038329
 0.1312044     0.0094514
 0.1583963     0.0165737
 0.1873707     0.0242067
 0.2166982     0.0305362
 0.2459461     0.0364403
 0.2750615     0.0419440
 0.3040186     0.0469378
 0.3327411     0.0513225
 0.3612746     0.0550224
 0.3898088     0.0580147
 0.4185485     0.0602808
 0.4476600     0.0619313
 0.4772105     0.0629982
 0.5071079     0.0634833
 0.5371896     0.0633894
 0.5673456     0.0627599
 0.5975029     0.0616322
 0.6275749     0.0600291
 0.6574922     0.0579533
 0.6872692     0.0553998
 0.7169849     0.0523782
 0.7467245     0.0489026
 0.7765407     0.0449891
 0.8063987     0.0406626
 0.8361780     0.0359501
 0.8657032     0.0308684
 0.8947765     0.0255072
 0.9228730     0.0200408
 0.9488289     0.0142925
 0.9713525     0.0085203
 0.9897731     0.0032756
 1.0000002     0.0000962
